Age_Days,Employed_Days,Credit_Amount,Loan_Annuity,Child_Count,Score_Source,Client_Gender,Car_Owned,House_Own,Client_Education,Client_Income,Default
13696,5720,404388,17452,2,0.2435569208565694,Female,1,1,Secondary,83640,1
20335,6417,115584,16595,2,0.8283298058396698,Male,0,1,Secondary,57746,1
18396,7186,463166,19812,3,0.22656481116790958,Male,1,1,Post Graduate,17338,1
15966,6102,196245,7200,4,0.8669361280073331,Male,1,1,Graduate,76704,1
16574,6454,298815,6396,4,0.6652055996063279,Female,0,1,Graduate,90723,1
9858,869,370176,14410,2,0.8591824459093644,Female,0,1,Post Graduate,66500,1
15149,885,427218,14203,4,0.33976178065428475,Male,0,0,Graduate,76483,1
9347,2001,411417,4598,2,0.22848985667766536,Male,0,0,Graduate,21323,0
10047,6297,340180,11564,2,0.5417469847935443,Male,1,0,Post Graduate,90086,0
16467,5509,304957,13748,2,0.5154363901990877,Female,0,0,Graduate,78163,1
17298,1283,121356,17957,0,0.432044591278418,Female,0,0,Post Graduate,91768,1
7489,619,195364,8636,0,0.8703595320720883,Female,1,0,Secondary,28919,1
10034,882,53052,18862,0,0.7758086125130026,Female,1,0,Graduate,28656,1
10305,796,356521,11265,0,0.6631074149629153,Male,0,1,Post Graduate,63956,0
11958,3642,248910,10705,1,0.3140008041464794,Male,0,1,Graduate,26544,0
9199,6268,379963,15298,3,0.7140263857529672,Male,1,1,Graduate,60936,1
15034,3425,425833,19580,3,0.7089087182898068,Male,0,1,Secondary,69288,0
8567,1296,196692,10703,2,0.4975477215312052,Male,1,0,Post Graduate,98518,0
8828,4714,80461,14336,4,0.8473501367998095,Female,1,0,Secondary,29566,0
18694,5930,332894,9166,0,0.31688451756030733,Male,1,0,Graduate,24880,1
10856,244,59472,17116,3,0.387136293688165,Male,0,0,Graduate,62776,1
11190,2895,381407,7050,3,0.24425703747544356,Female,0,1,Graduate,21936,1
16138,6593,162036,12184,0,0.7568156707243112,Male,1,1,Post Graduate,93947,1
21656,929,238674,13712,1,0.6352315702667781,Male,0,1,Secondary,22198,1
18380,5366,337667,9484,1,0.42045821397687466,Male,1,1,Post Graduate,18376,1
21802,519,211838,3593,3,0.3146695645160208,Female,0,0,Graduate,77432,1
12693,3212,415406,11315,1,0.22810343902011826,Male,0,0,Secondary,45172,1
17927,2409,116060,16200,0,0.31672189803815565,Female,1,1,Graduate,94459,1
16092,7,321223,10107,3,0.5172992524363607,Female,0,1,Secondary,27116,1
17855,2525,189471,4869,0,0.37302387830742434,Female,0,1,Post Graduate,73295,1
17553,3423,372870,16447,1,0.3812875242023767,Female,0,1,Post Graduate,19813,1
15733,2019,405050,8971,0,0.8129034566674,Male,1,1,Post Graduate,61313,0
17533,4590,328676,3989,1,0.5605963714227704,Female,0,1,Post Graduate,30232,0
18316,5725,434833,6340,1,0.7104763811898902,Male,1,0,Post Graduate,93228,1
14813,6976,93162,10643,0,0.22499766431970017,Female,0,0,Secondary,87920,1
9912,5158,446965,4823,1,0.4556143489746201,Male,0,1,Secondary,43609,0
14341,6736,323497,14454,2,0.5354185431768093,Male,0,0,Graduate,67499,0
16855,4282,162313,4932,0,0.3304917986471293,Male,1,0,Secondary,49021,1
13535,3667,78477,11220,2,0.2841340790118771,Male,1,0,Graduate,55108,0
12786,3671,205642,9554,0,0.8092126449498898,Male,1,1,Post Graduate,86363,1
14399,2801,136373,3429,1,0.8576021389698576,Male,0,0,Secondary,95305,0
16970,5973,454653,8444,1,0.2551646886317852,Male,0,0,Secondary,14821,0
18048,6236,219176,11510,3,0.44431309877971015,Male,0,0,Post Graduate,27797,1
8075,85,244442,12277,3,0.8707999397011317,Male,1,0,Post Graduate,75580,0
19506,3115,54551,11537,2,0.25821321319272544,Male,0,0,Post Graduate,28070,1
15526,4232,118359,8147,1,0.6505489610151083,Female,0,0,Graduate,15236,1
21841,2468,498096,8631,3,0.8805549596769038,Male,1,0,Graduate,36745,1
10452,6217,193988,4598,1,0.8847565680069622,Male,0,1,Secondary,16625,0
17447,3619,176150,5329,0,0.5298563316326202,Male,1,0,Post Graduate,29109,1
8885,1636,222517,7718,3,0.31392437544766644,Female,0,0,Secondary,35999,0
11243,3583,359780,10923,2,0.3414590204842072,Female,0,0,Post Graduate,50777,0
14855,4009,341829,14782,3,0.8227209765870762,Male,0,1,Post Graduate,14014,1
10373,3326,363278,17476,1,0.8381781030308151,Male,0,0,Post Graduate,48548,1
8321,2218,401060,1051,4,0.6255157507114883,Female,0,1,Post Graduate,80131,1
18953,5847,157967,17702,4,0.736323479628938,Male,1,0,Post Graduate,51033,0
18105,2217,144455,11184,1,0.7179518760292858,Male,0,1,Graduate,62170,0
20717,5883,308835,13468,0,0.6632751185923749,Female,0,1,Secondary,49060,1
11143,4967,483209,16479,3,0.7790938684103574,Female,1,1,Post Graduate,77096,1
15289,2369,225405,8210,4,0.6797846361282247,Male,1,0,Graduate,68235,1
16992,3638,289646,13934,0,0.5738016140232495,Male,1,1,Graduate,86860,1
20290,2503,239937,4956,1,0.36586945381170977,Male,0,0,Post Graduate,35822,1
14173,943,361900,7057,0,0.7207217008830333,Female,1,0,Post Graduate,87530,0
12975,5722,435007,12210,1,0.5314065074867922,Male,1,0,Graduate,92392,0
7461,2837,111192,15590,3,0.40635417880525654,Male,1,1,Post Graduate,44985,0
11597,2660,241758,14864,0,0.7613623930192428,Female,1,0,Graduate,35276,1
17473,2936,360877,2525,3,0.6876995202471198,Male,0,1,Post Graduate,53039,0
8295,4444,285161,14277,0,0.85613769418729,Male,1,0,Graduate,91972,1
20403,3947,338137,8043,1,0.3158091480132144,Male,1,0,Post Graduate,12987,1
18834,1676,211564,18662,1,0.6544324992455453,Male,0,0,Graduate,18330,1
20043,1196,202053,9705,0,0.3709676276617232,Female,0,0,Secondary,35973,1
14929,4105,336287,7125,1,0.8325080897111492,Female,1,0,Post Graduate,74558,0
19290,2787,241349,8874,2,0.26964958997963095,Female,0,0,Post Graduate,28521,1
16767,1461,157044,13529,2,0.659313264511414,Male,1,0,Graduate,85811,0
8316,3318,231062,15955,3,0.7537600050696209,Male,0,1,Post Graduate,58119,1
15169,666,178406,3500,2,0.44844248825529504,Male,0,0,Secondary,37552,1
13739,6689,119351,4464,2,0.8678966555686665,Male,1,0,Secondary,47603,1
15192,5618,231071,19643,4,0.795511479210226,Female,0,1,Graduate,38940,1
14163,2176,284085,16954,4,0.4062328097794324,Male,0,1,Graduate,55965,0
15216,3743,283883,1255,4,0.2052787649011991,Male,1,1,Post Graduate,18377,1
15829,600,120309,2502,4,0.4076600232826426,Male,1,0,Graduate,78978,0
8178,2652,455662,5656,1,0.3969173293295198,Female,0,1,Secondary,72308,1
16568,4422,211805,11302,3,0.8229752252506364,Male,0,0,Secondary,82938,1
12187,3824,169156,6430,3,0.8769848247783232,Male,1,1,Post Graduate,45961,1
19485,3906,388144,9598,2,0.24930799017918226,Male,0,0,Secondary,14928,0
21852,979,491848,16976,3,0.5299063799733217,Male,1,1,Graduate,19604,1
12159,2451,71576,2860,2,0.583832398970857,Male,0,0,Post Graduate,58029,0
13631,628,53320,7158,3,0.2650381629307923,Female,0,0,Post Graduate,23777,1
15871,1629,191822,6806,0,0.4642483963962658,Male,1,0,Post Graduate,50364,1
15984,3696,153002,18106,0,0.4219576921750654,Male,1,1,Graduate,62068,0
14508,3430,234535,10474,3,0.5752394480289611,Male,0,1,Post Graduate,35591,1
12576,3674,76572,17997,1,0.6628336298123566,Male,0,1,Post Graduate,80073,1
9362,3929,330092,6790,2,0.6924395773475966,Male,0,1,Secondary,71478,0
19376,2765,166528,11170,3,0.29572851652937127,Female,0,1,Secondary,66203,1
7364,7184,219898,10004,2,0.769063391361235,Male,1,0,Post Graduate,41905,1
15306,4369,139051,10978,4,0.6749794208535312,Female,0,1,Graduate,14261,1
9868,4780,340011,17714,3,0.8223524417227037,Female,0,0,Graduate,44703,1
12763,115,241303,19596,1,0.5145352416048039,Male,1,0,Graduate,67193,1
20740,4956,272428,8232,4,0.825722833905534,Male,1,0,Graduate,47306,1
9327,2003,307412,13674,3,0.8060418856492528,Female,1,0,Secondary,79962,0
9995,692,253305,17052,0,0.5068865326514886,Male,0,1,Graduate,72432,1
16987,3162,356822,16774,3,0.46680032070508504,Female,1,1,Graduate,11358,0
12558,1105,419705,6913,0,0.8529684104791797,Female,1,1,Post Graduate,88959,1
12918,6467,325107,15102,0,0.7006153141769063,Male,0,1,Graduate,44537,1
14036,3008,99434,16389,3,0.8497717425066529,Male,1,1,Graduate,37337,1
7691,2161,116617,11567,3,0.7578823452270691,Female,1,1,Graduate,73247,0
21286,5888,463485,6611,0,0.6265082075039901,Male,0,0,Graduate,56493,0
20006,7225,167569,10432,2,0.2810969439026352,Female,1,1,Secondary,27576,1
19966,153,257384,1319,4,0.404036470805369,Female,0,0,Post Graduate,45584,1
13192,5996,409496,13686,1,0.878189684968874,Male,1,0,Secondary,49035,0
10861,5523,391876,5791,3,0.4235954690999431,Female,1,0,Post Graduate,33409,0
17770,3699,419792,1329,4,0.26527840884975956,Female,1,0,Post Graduate,14856,0
13484,5385,131494,9851,4,0.6952873491435239,Female,0,1,Post Graduate,97137,1
10399,4410,269977,12310,2,0.713802978180579,Female,1,1,Post Graduate,92962,0
13578,3786,127225,11164,4,0.3998204042010055,Female,1,0,Secondary,97163,0
15692,1064,132867,19177,3,0.4083703855424126,Female,1,1,Post Graduate,51185,1
21451,4200,218600,6703,4,0.5282250898561487,Male,1,0,Graduate,85706,1
20367,6020,305669,11649,3,0.2152522648335789,Female,0,0,Graduate,82291,1
10404,1913,391116,13672,3,0.7525261072528144,Female,1,0,Post Graduate,98387,1
14515,1216,408405,5155,0,0.42196215109188795,Male,1,0,Graduate,46745,0
20090,5520,140748,3611,2,0.7976341714013844,Male,1,1,Graduate,39712,0
9754,2401,304265,19977,1,0.7618412951200235,Male,1,0,Post Graduate,22023,1
19137,7159,214404,17479,0,0.6629814231831481,Female,0,1,Post Graduate,72919,1
21339,1772,436625,10180,1,0.4274124069695021,Male,0,0,Post Graduate,10540,0
16296,1960,179529,10304,3,0.561421593162819,Female,0,1,Secondary,18837,1
21734,2780,314395,15610,0,0.5113804803185713,Female,1,1,Post Graduate,31185,1
10031,5699,488933,9437,4,0.4372173203740719,Female,0,1,Post Graduate,74889,1
21483,4804,411252,11350,4,0.7936954025122247,Female,0,0,Secondary,33406,1
18265,4746,208099,13521,1,0.5384549522043657,Male,0,0,Graduate,71630,1
15454,2871,147382,7560,3,0.7829061684580025,Female,1,1,Secondary,59054,0
17062,5042,59583,6247,1,0.273652931899277,Female,1,1,Graduate,60840,1
12356,660,100387,5077,2,0.298717352020235,Female,0,0,Secondary,19046,0
15410,6242,335248,11858,4,0.8841242135790837,Female,1,1,Post Graduate,62495,0
21073,2635,62224,12391,0,0.6114379238242627,Female,1,1,Secondary,50579,0
18182,2329,372768,11946,0,0.5568387714493344,Female,1,1,Post Graduate,69821,1
11140,3954,499274,16186,0,0.5662092442008781,Male,0,0,Graduate,86668,1
8328,2450,416464,2417,4,0.3506881418230019,Male,1,0,Post Graduate,44175,0
14685,1132,277444,17494,3,0.7030927646513812,Female,1,0,Secondary,19012,0
7802,699,472515,9954,4,0.25934643661082807,Female,0,0,Secondary,17030,1
14210,6342,390716,14591,4,0.6013265991721162,Female,1,0,Graduate,96450,1
19985,2038,397613,8391,0,0.599538157610131,Female,1,0,Post Graduate,83464,1
16362,6470,390072,12364,4,0.8399318968934577,Female,0,1,Graduate,22027,1
14238,6297,316285,11371,0,0.5683279670734023,Male,0,1,Post Graduate,81742,1
11788,4647,204422,3504,3,0.29594388718192566,Female,1,1,Post Graduate,28565,0
7506,4500,383015,6239,2,0.6009272814737138,Male,1,1,Graduate,39290,1
12434,4557,186149,17676,0,0.2639293510557327,Male,1,1,Graduate,35000,1
13277,2179,96015,19118,1,0.3426556847099452,Male,0,1,Post Graduate,60703,0
15021,2838,221929,6120,2,0.22177600893119132,Male,0,0,Graduate,43125,1
14335,873,282268,7393,3,0.5593055077216488,Male,1,1,Post Graduate,21638,0
8784,83,240912,3196,2,0.2591728307055007,Female,1,1,Graduate,93514,1
15158,1422,372046,4466,0,0.5285760649719303,Female,1,0,Graduate,64280,0
8163,6897,55577,2906,3,0.8530615247269009,Female,1,0,Graduate,67540,1
10090,2675,332146,19105,1,0.7038329891135324,Female,0,1,Secondary,72580,0
14708,3180,100711,12883,0,0.25418817195770516,Male,1,1,Graduate,19225,1
16055,4316,89451,16437,0,0.35694686854619023,Male,0,1,Secondary,35437,1
12416,3975,230175,15497,3,0.6715636939254039,Female,0,0,Post Graduate,92268,1
19683,6696,471863,2816,3,0.8262913027169285,Male,0,0,Post Graduate,38353,1
13319,1391,84831,11713,2,0.22304301073476765,Female,1,0,Graduate,58531,1
9057,3218,299402,4849,1,0.7687157922044159,Male,0,0,Secondary,11658,0
14874,4207,281376,7849,2,0.5932697162368161,Male,0,1,Post Graduate,35150,1
13674,614,408642,2058,2,0.5822639277074748,Male,1,1,Secondary,23315,0
14192,5677,441093,12730,0,0.8704692279273505,Male,1,1,Secondary,28203,1
8978,2971,294942,19706,3,0.723351228817741,Female,0,0,Post Graduate,48649,0
10542,3565,145119,18332,0,0.7950832076392784,Male,1,0,Secondary,49423,1
11936,3576,378974,5359,1,0.4477968986812667,Female,0,1,Secondary,73617,0
8359,4570,392776,13809,2,0.5880548285798869,Female,1,1,Post Graduate,30392,1
13968,6979,348977,6660,1,0.6307839741994394,Male,0,1,Graduate,16043,1
20771,6009,293466,8254,3,0.4251087582537255,Female,0,0,Graduate,26867,1
17214,270,273936,13822,3,0.5991736874631797,Female,1,1,Secondary,10357,0
18806,4066,336542,3093,4,0.3656587656357997,Female,1,0,Graduate,55440,0
10457,2468,111554,12730,1,0.3003629697477677,Female,1,1,Post Graduate,34829,0
13215,6016,100755,18947,0,0.46177918149413283,Male,0,1,Post Graduate,51794,1
18117,6850,460922,9217,1,0.7175027401225058,Male,0,0,Post Graduate,43958,1
18221,1390,203412,17558,2,0.8413310036517212,Male,1,0,Secondary,40408,0
17089,3354,377138,18718,3,0.5203998360487627,Male,0,0,Post Graduate,36279,1
18552,4135,113884,17705,3,0.6499765817928022,Female,1,1,Secondary,39467,1
9993,6078,396505,13342,1,0.27212599168257035,Female,0,0,Secondary,65131,0
20383,6332,67482,13239,1,0.83312463098663,Male,0,1,Post Graduate,51452,1
20639,5089,104225,14854,1,0.5980229494989541,Male,1,0,Post Graduate,78945,0
21231,6108,239921,14897,2,0.7462367733376098,Female,1,1,Secondary,86855,1
10927,3607,124854,12419,2,0.7561088406449756,Male,0,0,Post Graduate,36696,0
16855,2583,91256,11064,0,0.37953636845767413,Female,0,0,Graduate,73612,0
17473,4073,290617,16003,1,0.5704221172272946,Male,0,1,Secondary,37578,0
12750,3075,158721,11259,0,0.8723358260926841,Female,0,0,Secondary,11908,1
8963,3906,131110,6674,4,0.26274418137457944,Female,1,1,Post Graduate,79182,1
17021,289,163606,6002,2,0.6781349286206944,Male,1,1,Post Graduate,66867,0
17530,2480,64650,1910,3,0.8735848546246203,Male,1,1,Secondary,89368,0
12892,6614,227190,1949,4,0.4104039756378155,Male,0,0,Secondary,94297,0
18794,3252,78930,19898,3,0.8030135449830436,Female,0,1,Secondary,21586,1
17729,6771,266779,12523,4,0.8535602817857901,Male,0,0,Post Graduate,30720,1
14692,278,310102,12221,0,0.7229603465763774,Male,0,0,Secondary,80940,1
20996,2924,412544,17484,0,0.3619298186148708,Male,1,1,Graduate,97878,1
20988,580,323945,5646,2,0.43380050317861574,Male,1,0,Graduate,11625,0
8606,4958,101360,7945,3,0.22506650609241152,Male,1,1,Post Graduate,48186,0
19521,253,400052,3400,4,0.7820172639717486,Female,0,1,Secondary,47154,1
14076,4276,197631,12563,1,0.7947278305577559,Male,1,1,Secondary,81890,0
18167,4776,344478,19727,1,0.642897216976335,Male,1,1,Graduate,44157,0
20560,824,286545,1352,2,0.44676949588469594,Male,1,1,Secondary,65061,0
13164,3832,63288,16489,3,0.2537677193479444,Male,1,1,Post Graduate,27871,1
16774,699,203470,2018,1,0.7271403269404366,Female,0,0,Post Graduate,65653,1
14826,6709,257302,18563,2,0.7085683355269461,Female,0,0,Post Graduate,19108,0
16201,5445,324335,6193,2,0.8388217652172307,Male,1,0,Secondary,85869,1
12875,1380,330195,16701,3,0.7113724147037535,Male,1,0,Secondary,93806,0
12830,3896,111715,4536,1,0.7800864595708012,Male,1,0,Graduate,44984,0
20236,1673,60737,16449,1,0.7221682325327996,Female,1,1,Graduate,93240,0
11713,2727,115140,12842,1,0.6414810318186215,Female,1,0,Post Graduate,91840,0
11048,6534,206323,19886,0,0.49887647593370643,Male,0,1,Secondary,73478,0
20845,5734,232047,4819,1,0.8314821160495944,Female,1,0,Secondary,34290,1
20271,6053,317291,18363,4,0.6556780003352288,Female,1,0,Post Graduate,24433,1
7963,3156,100508,1976,0,0.4788487253761363,Female,1,1,Post Graduate,79981,1
9298,3388,364368,19664,0,0.25842850662737005,Female,0,0,Graduate,47599,1
15294,4307,331787,6897,0,0.4034933991330675,Female,0,0,Graduate,20818,1
18937,5634,351111,16957,0,0.5806087143811154,Female,0,0,Post Graduate,99737,1
19235,383,153535,16359,2,0.3929447590113362,Male,0,1,Secondary,16984,1
21219,5810,352877,14240,4,0.3548647435425315,Female,0,0,Graduate,51360,1
8795,341,346952,1107,3,0.5691754598614931,Male,1,1,Post Graduate,76286,0
10604,5934,248360,16524,1,0.3188742421270142,Female,1,0,Secondary,15594,0
11063,1987,108959,2626,0,0.7602870443275724,Male,0,1,Post Graduate,72260,0
12532,4059,445065,7229,3,0.5390577059398606,Female,0,0,Secondary,89266,1
9153,4939,380322,7877,2,0.6017039417738551,Male,0,1,Graduate,17171,1
21108,3109,248208,1874,3,0.303168287318144,Male,1,1,Secondary,95605,1
13885,4082,241812,6543,0,0.4272034349405571,Female,0,0,Secondary,60570,1
20151,5630,162255,4809,4,0.48706277828280703,Male,0,0,Post Graduate,62923,0
8591,4515,136322,11603,3,0.7657489813615521,Male,0,0,Secondary,72405,1
10881,2798,356709,3107,0,0.7391116661603068,Female,1,1,Graduate,72653,1
18949,3240,463399,12745,0,0.356084232351377,Male,0,0,Post Graduate,20210,0
14854,1988,51132,10465,1,0.6313253571249053,Female,1,1,Post Graduate,69380,0
14580,6028,219331,1559,1,0.3704194504403983,Male,1,0,Post Graduate,52605,1
8936,3414,277684,9308,4,0.8917730089831717,Male,1,0,Post Graduate,84541,1
10996,1849,375812,16250,1,0.8664867146916093,Female,1,1,Post Graduate,40825,1
18491,305,309427,14255,4,0.5942853043644343,Male,1,0,Post Graduate,91241,1
18644,3613,481779,4046,2,0.6892318003259,Male,0,0,Post Graduate,43791,0
7998,2749,158835,14856,2,0.7610012675460516,Female,1,0,Graduate,85237,0
17652,4964,192003,17427,1,0.7046988940314327,Female,1,1,Graduate,90202,1
19589,6680,308228,1508,2,0.6898800837576946,Female,1,1,Post Graduate,80775,1
12037,1135,123169,7107,3,0.8709878055646696,Male,0,1,Secondary,91748,0
21855,5530,310529,14476,3,0.6175192744150984,Male,1,1,Post Graduate,94266,1
21177,205,493855,4439,3,0.6454118702733389,Female,1,0,Post Graduate,76391,0
8154,4591,303608,14136,2,0.7944881253067269,Male,1,0,Post Graduate,84894,0
15464,3450,284385,15167,3,0.6689236075008848,Male,0,0,Secondary,60817,1
13155,7214,239973,18300,4,0.7130528354122658,Male,1,1,Graduate,79574,1
14692,6005,150417,18182,0,0.3639180803376497,Male,1,0,Secondary,52932,0
13828,3811,51044,5971,1,0.45988684688054965,Male,1,1,Secondary,73404,1
18966,3622,227763,19144,4,0.3031109419983251,Female,1,0,Secondary,30071,0
21249,3599,281807,16883,3,0.5540358096343638,Female,1,1,Secondary,93036,1
12549,2551,74363,1818,0,0.5190091804761724,Male,1,1,Post Graduate,54328,1
12472,5141,358838,11360,1,0.8980139699956198,Male,1,0,Graduate,63694,0
9007,4308,444798,12927,4,0.6278460569708797,Male,0,1,Secondary,10733,1
18269,309,333445,17023,1,0.7505113762360962,Female,0,1,Graduate,71127,1
13091,2708,386473,4065,2,0.43381026953035795,Female,0,0,Post Graduate,45689,1
17225,1991,51620,4259,3,0.7820817319399576,Female,1,1,Post Graduate,54289,0
12835,6896,374368,18290,4,0.6305594765413784,Female,0,1,Graduate,88345,0
21882,271,499871,13300,4,0.6878946321189069,Female,1,0,Post Graduate,23686,1
12231,3642,145419,1602,0,0.40610154456461806,Male,0,1,Graduate,79034,0
10810,4086,218606,5295,0,0.584046874186904,Male,0,1,Secondary,14717,1
7502,1822,432194,10983,0,0.643825881389526,Male,1,1,Post Graduate,14854,1
18747,7081,482606,4527,1,0.6123662730716067,Male,1,0,Post Graduate,24358,0
11518,3273,252701,2811,3,0.8406355979971964,Female,1,0,Graduate,31857,0
19988,6175,368000,13103,1,0.8287908651447875,Male,1,0,Post Graduate,91120,1
16258,4538,230324,10032,3,0.8796888405138095,Male,1,0,Secondary,14960,1
11689,6305,367953,13877,4,0.6671996042048925,Male,0,1,Post Graduate,46283,1
9627,6910,72259,8963,1,0.8803398910879792,Male,1,0,Post Graduate,36576,0
15304,4349,70655,16224,1,0.7827346000223361,Female,0,0,Post Graduate,28700,1
10231,520,476221,9916,1,0.38958249823797153,Female,0,0,Graduate,53540,1
15077,976,474845,7766,2,0.49920496868590797,Male,1,0,Secondary,61166,1
7497,3722,466826,18186,3,0.36687470953230683,Male,0,1,Secondary,57417,1
14425,3551,71602,19966,3,0.20293801258139565,Male,0,1,Post Graduate,29412,0
9230,4105,398089,2665,1,0.331634127202836,Male,1,0,Post Graduate,69291,1
19074,2773,192182,16932,2,0.20284241040081297,Female,1,1,Graduate,14231,1
13587,2552,449289,7975,1,0.703886922945343,Female,0,0,Secondary,95068,1
16100,2832,412990,3552,3,0.4978740084048397,Male,0,0,Post Graduate,17521,1
18764,3907,392962,14219,4,0.41880230895450077,Male,0,1,Secondary,74569,1
16639,5679,453411,15274,2,0.7332046237666314,Female,1,1,Post Graduate,21349,1
11582,6579,51537,13612,2,0.7827407422337516,Female,1,1,Post Graduate,42768,1
18889,5230,460354,3808,1,0.8827096770549159,Male,1,1,Graduate,72985,0
9811,152,487544,12090,4,0.6494095092726688,Male,0,1,Secondary,17611,0
17286,5754,306210,13260,3,0.5230702709780362,Male,1,1,Secondary,29012,1
7959,2964,227274,16295,0,0.4136850111252051,Female,1,0,Post Graduate,98054,1
10111,2916,221236,15837,3,0.3556227464499584,Female,0,1,Post Graduate,59725,1
14398,7269,438689,15669,3,0.34904816533782085,Female,0,0,Graduate,11548,1
21543,2800,139743,11523,4,0.4864325623038591,Female,0,0,Post Graduate,23988,0
13846,5952,497875,13762,2,0.8942504487015508,Female,1,0,Secondary,71186,0
16861,5310,136155,14769,3,0.2005975882061823,Male,1,0,Graduate,24497,0
9286,1752,492908,14731,2,0.3380441280617006,Male,1,0,Secondary,81581,1
21122,2610,432342,12877,4,0.3318750876825017,Male,1,1,Graduate,29876,0
15638,3875,468061,3456,4,0.7019836398726047,Male,1,1,Secondary,36819,1
18711,1104,139846,6423,1,0.44673930931864325,Female,1,0,Post Graduate,17839,0
10211,2536,284507,15246,0,0.5200825632142745,Male,1,0,Secondary,48457,1
9034,4990,342706,13846,4,0.30403689132893347,Female,0,1,Secondary,71976,1
9143,5207,340180,5317,4,0.48349792721386337,Female,1,0,Graduate,20275,1
15980,4199,241824,18940,2,0.27223986833408526,Male,1,1,Secondary,48151,1
10276,3854,386377,19589,4,0.5731303015220082,Male,0,1,Post Graduate,44173,1
9259,7263,133049,13635,3,0.26855685576799915,Male,0,1,Graduate,89985,0
13059,3494,289647,14470,1,0.7533558668212093,Male,0,0,Graduate,53612,0
13994,1914,380825,14176,1,0.5966212022783426,Male,0,0,Secondary,25960,0
9685,3072,339962,10113,3,0.7067775116414619,Male,1,0,Graduate,14538,1
18411,1006,473760,14546,4,0.4929614706568787,Female,1,0,Post Graduate,60338,1
12036,406,374676,7805,0,0.4670439052695591,Female,0,0,Secondary,38709,1
9102,5497,369849,17788,4,0.26874622233420453,Female,0,0,Post Graduate,12139,0
15455,166,70104,19004,1,0.5666989249299759,Male,1,0,Secondary,45446,1
15420,508,436480,9080,0,0.5601515153999643,Female,0,0,Secondary,46562,1
13916,1661,177904,4118,2,0.5276714311147237,Male,0,1,Graduate,29103,1
21557,6456,381747,7630,2,0.7183628552777144,Male,1,0,Graduate,57204,0
21786,3664,152499,1565,4,0.7827530800226481,Female,0,1,Graduate,34432,0
12834,3489,371169,16701,4,0.7255527724639557,Female,1,1,Secondary,47370,1
11361,4858,277336,15859,0,0.3007060199647907,Male,0,1,Graduate,85954,0
18861,680,344461,8670,0,0.6354416564974756,Male,1,0,Post Graduate,87096,1
21222,2524,474632,10476,4,0.2562261739826734,Female,0,0,Graduate,30341,1
7562,2120,223084,9776,1,0.6862356012083335,Female,1,0,Post Graduate,89382,0
21375,5260,417729,16021,2,0.46728736759278866,Female,1,1,Graduate,16069,1
13587,4677,202472,5327,0,0.2927492693864006,Female,0,0,Secondary,84215,1
